hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dbFlags,geom_rate,nav_modes,true_heading,timestamp
a2bb83,adsb_icao,UAL2389 ,N27503,B39M,28150,29775.0,483.5,162.05,-2048.0,3570,none,A3,1013.6,27008.0,161.02,28.152924,-83.045601,8,186,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],24809699,0.1,-12.6,,,,,2024-09-21 18:03:03.773572+00:00
a46303,adsr_icao,CXK344  ,N382D,P28A,5650,5850.0,90.6,349.19,40.0,1200,none,A1,,,,28.176865,-82.923748,0,0,0.85,,,,0.0,,perhour,,,0.0,0.0,['baro_rate'],[],3911176,0.5,-10.7,8.0,-128.0,,,2024-09-21 18:03:03.773572+00:00
a662b7,adsb_icao,N510PC  ,N510PC,TAMP,2350,2325.0,79.1,182.17,,1200,none,A1,,,,27.954758,-82.894108,10,25,0.477,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3530856,0.5,-4.7,,768.0,,,2024-09-21 18:03:03.773572+00:00
a1ccd4,adsb_icao,N215HR  ,N215HR,C172,6200,6350.0,138.3,164.05,-512.0,7304,none,A1,1012.8,,170.16,28.067927,-82.890499,9,75,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],612378,0.1,-6.6,,,,,2024-09-21 18:03:03.773572+00:00
ad292a,adsb_icao,SWA2131 ,N947WN,B737,10475,10925.0,304.1,136.07,-1536.0,2517,none,A3,1012.8,4992.0,139.22,28.25322,-82.889469,8,186,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],27433351,0.1,-6.6,,,,,2024-09-21 18:03:03.773572+00:00
ad1175,adsb_icao,CXK363  ,N941G,P28A,4075,4150.0,93.0,178.77,192.0,6603,none,A1,1012.8,4000.0,,28.082657,-82.876792,9,75,0.091,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5502257,0.0,-9.3,8.0,,,,2024-09-21 18:03:03.773572+00:00
a48ac4,adsb_icao,FFT4978 ,N392FR,A20N,22600,23875.0,428.0,90.0,-1088.0,4021,none,A3,1012.8,7008.0,,27.880787,-82.850277,8,186,0.0,2.0,1.0,10.0,4.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],19907367,0.0,-13.6,,,,,2024-09-21 18:03:03.773572+00:00
a6df5a,adsr_icao,CXK399  ,N542A,P28A,2825,2800.0,100.1,171.38,-349.0,1663,none,A1,,,,27.821686,-82.848004,0,0,0.227,,,,0.0,,,,,0.0,0.0,['baro_rate'],[],4622920,0.2,-2.8,8.0,-512.0,,,2024-09-21 18:03:03.773572+00:00
a1ca5c,adsb_icao,N214WK  ,N214WK,C182,100,0.0,123.1,182.79,,1200,none,A1,,,,28.088562,-82.842037,10,25,0.477,2.0,0.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],172818,0.5,-17.0,,-64.0,,,2024-09-21 18:03:03.773572+00:00
a7ef49,adsb_icao,N610FP  ,N610FP,LJ60,3250,3300.0,211.2,50.96,,3602,none,A2,,,,27.742899,-82.811825,8,186,0.192,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3527833,0.2,-7.4,,-704.0,,,2024-09-21 18:03:03.773572+00:00
